CP,DSA,WT,ML,MAD,Placement
70,80,1,1,3,0
80,78,4,3,3,1
75,60,3,4,4,1
60,70,1,1,1,1
51,65,2,4,2,0
70,60,4,4,1,0
80,75,2,4,1,1
50,40,4,3,3,1
60,60,3,1,4,0
60,60,4,4,3,0
40,40,3,1,2,0
70,40,4,1,2,1
70,50,4,2,3,1
60,70,2,3,1,1
80,80,5,5,3,1
86,40,4,3,2,0
80,90,2,4,3,1
60,40,4,3,4,0
70,60,3,3,1,0
50,50,3,2,3,1
60,40,3,1,2,1
41,45,4,3,3,0
80,90,3,5,1,1
80,80,3,3,4,1
40,40,4,3,4,0
62,84,3,1,3,0
40,70,3,4,2,1
80,70,3,2,2,1
70,80,3,3,1,1
60,40,3,1,1,0
95,95,5,4,4,1
50,40,4,3,3,1
70,65,3,2,2,0
60,70,3,4,2,0
40,90,3,1,1,1
50,40,3,3,3,0
60,70,3,1,2,0
60,70,4,1,3,0
80,70,4,1,4,1
40,50,3,3,2,1
60,60,3,2,3,1
60,50,2,4,3,0
70,70,1,2,1,0
50,50,3,3,3,0
40,50,4,1,1,0
40,70,5,1,3,0
60,75,4,2,3,1
65,85,4,2,2,0
70,70,4,1,3,0
40,50,3,1,1,0
54,62,4,2,2,1
43,60,3,2,3,0
40,40,4,3,3,0
50,90,2,1,1,0
80,70,5,2,3,0
80,60,2,3,2,0
60,60,4,2,2,1
44,42,3,1,2,0
60,58,3,1,2,0
50,50,3,3,2,0
40,40,1,4,4,0
60,80,3,3,3,0
66,63,2,1,1,1
70,57,2,1,1,0
78,72,4,2,2,1
70,57,3,1,3,0
89,60,5,4,3,0
40,40,4,3,4,0
40,50,3,5,1,0
